;Sex;Age;WeightClassKg;BodyweightKg;TotalKg;Wilks
658910;M;50,5;"[63,400001525878906, 73,5999984741211)";65,0;536,0;426,23
658911;M;28,0;"[63,400001525878906, 73,5999984741211)";65,5;532,5;420,75
658995;M;46,5;"[73,5999984741211, 83,80000305175781)";82,6;620,0;415,04
659006;M;26,5;"[73,5999984741211, 83,80000305175781)";79,5;587,5;402,68
659033;M;33,0;"[83,80000305175781, 94,0)";92,9;725,0;455,67
659145;M;26,5;"[114,4000015258789, 124,5999984741211)";119,1;857,5;493,87
659348;F;20,5;"[63,400001525878906, 73,5999984741211)";70,9;412,5;406,8
659394;F;45,0;"[43,0, 53,20000076293945)";50,9;270,0;342,17
659397;F;46,5;"[53,20000076293945, 63,400001525878906)";55,4;282,5;335,21
659438;F;49,5;"[43,0, 53,20000076293945)";46,2;245,0;333,57
659546;F;36,5;"[53,20000076293945, 63,400001525878906)";56,5;327,5;382,66
659661;F;24,5;"[83,80000305175781, 94,0)";79,1;467,5;430,5
659844;M;25,5;"[73,5999984741211, 83,80000305175781)";72,3;487,5;356,59
660561;M;44,0;"[104,19999694824219, 114,4000015258789)";99,25;570,0;347,95
660576;M;40,0;"[73,5999984741211, 83,80000305175781)";74,0;717,5;516,11
660666;F;28,0;"[83,80000305175781, 94,0)";75,0;320,0;304,21
660815;M;32,5;"[73,5999984741211, 83,80000305175781)";72,8;537,5;391,19
661194;M;20,5;"[73,5999984741211, 83,80000305175781)";72,8;465,0;338,43
661368;F;52,5;"[83,80000305175781, 94,0)";82,1;305,0;275,19
